BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.57,100807.56,,22.54,100798.48,100798.48,,
22.59,100807.86,,22.54,100800.42,100800.42,,
22.59,100807.86,,22.58,100807.13,100807.13,,
22.52,100795.51,,22.58,100799.13,100799.13,,
22.52,100795.51,,22.53,100790.9,100790.9,,
22.55,100802.64,,22.56,100804.16,100804.16,,
22.6,100809.38,,22.59,100808.63,100808.63,,
22.6,100809.38,,22.53,100799.67,100799.67,,
22.53,100799.67,,22.53,100797,100797,,
22.53,100799.67,,22.59,100794.52,100794.52,,
22.53,100798.91,,22.54,100789.75,100789.75,,
22.58,100804.47,,22.53,100788.98,100788.98,,
22.6,100807.47,,22.59,100797.94,100797.94,,
22.6,100807.47,,22.61,100802.86,100802.86,,
22.6,100806.71,,22.6,100810.14,100810.14,,
22.6,100806.71,,22.54,100800.42,100800.42,,
22.52,100787.5,,22.57,100807.56,100807.56,,
22.55,100796.55,,22.61,100808.2,100808.2,,
22.55,100796.55,,22.54,100793.14,100793.14,,
22.59,100805.2,,22.54,100797.76,100797.76,,
22.59,100805.2,,22.59,100800.61,100800.61,,
22.54,100797.76,,22.59,100799.85,100799.85,,
22.54,100797.76,,22.54,100797.76,100797.76,,
22.53,100799.67,,22.57,100794.97,100794.97,,
22.58,100809.05,,22.61,100802.86,100802.86,,
22.58,100809.05,,22.53,100799.67,100799.67,,
